timestamp,seconds,minutes,hours,day,month,year,co2,co,PM1,light,temp in c,pressure,humidity
1681496396.6218915,54,19,13,14,4,2023,545.5779418945312,0.11,4.5,116.1216,22.033688873634674,951.9877489941855,47.503592570808785
1681496402.119055,0,20,13,14,4,2023,545.5779418945312,0.11,4.7,114.27839999999999,22.033688873634674,951.9797804857373,47.38830353087121
1681496462.1335456,0,21,13,14,4,2023,521.6629028320312,0.1,4.5,114.27839999999999,21.99822793887579,951.9319700733282,47.16821079531718
1681496522.1269257,0,22,13,14,4,2023,509.02099609375,0.11,4.1,114.27839999999999,21.962767018377782,951.9670958558122,47.18920033182362
1681496582.1721826,0,23,13,14,4,2023,509.02099609375,0.11,4.0,114.27839999999999,21.91717442726367,951.9914392167573,47.1662732954517
1681496642.1890633,0,24,13,14,4,2023,482.3775634765625,0.11,4.0,116.1216,21.91717442726367,951.9487926085374,47.16088135892452
1681496702.191737,0,25,13,14,4,2023,429.3803405761719,0.11,4.1,114.27839999999999,21.881713539361954,951.9890680749781,47.19881669362408
1681496762.1708632,0,26,13,14,4,2023,425.2674865722656,0.11,4.0,114.27839999999999,21.866516020341077,951.9571899242818,47.22038012913221
1681496822.1506865,0,27,13,14,4,2023,426.8527526855469,0.1,4.2,112.4352,21.871581859723666,951.9464225202566,47.46175416375961
1681496882.1344101,0,28,13,14,4,2023,416.9523620605469,0.11,3.7,112.4352,21.851318503939545,951.906576316803,48.08709053026209
1681496942.1168215,0,29,13,14,4,2023,415.0267639160156,0.11,3.7,116.1216,21.891845220164395,951.8714710004672,47.21008624812619
1681497002.1419702,0,30,13,14,4,2023,413.75384521484375,0.11,3.6,116.1216,21.896911061002175,951.9328544927889,47.8192780572056
1681497062.2025058,0,31,13,14,4,2023,436.1322021484375,0.11,3.5,119.80799999999999,21.932371955015697,951.8818024741456,47.67192786061834
1681497122.2107341,0,32,13,14,4,2023,465.0866394042969,0.11,3.5,121.6512,21.947569485387067,951.8710298626022,47.425137770752904
1681497182.1829367,0,33,13,14,4,2023,449.91912841796875,0.11,3.6,123.4944,21.957701173756504,951.8522884850879,47.00794928221052
1681497242.1878598,0,34,13,14,4,2023,433.8895263671875,0.11,3.5,121.6512,21.952635329426265,951.7857403636438,46.958541993145076
1681497302.1511965,0,35,13,14,4,2023,433.8895263671875,0.11,3.4,121.6512,21.947569485387067,951.8818024741456,47.72670875263359
1681497362.1227934,0,36,13,14,4,2023,495.8918762207031,0.11,3.4,121.6512,21.947569485387067,951.8789980749743,47.12323016566767
1681497422.120134,0,37,13,14,4,2023,471.4999084472656,0.11,3.4,121.6512,21.952635329426265,951.9136761461405,46.89824814931348
1681497482.247553,0,38,13,14,4,2023,472.03607177734375,0.11,3.5,121.6512,21.957701173756504,951.8949345909865,47.206057748914034
1681497542.227866,0,39,13,14,4,2023,478.615478515625,0.11,3.5,125.3376,21.967832863290095,951.884160755423,47.4859180331363
1681497602.2201457,0,40,13,14,4,2023,509.00030517578125,0.11,3.4,127.18079999999999,21.993162092217243,951.8171556442179,46.860472021421366
1681497662.1932116,0,41,13,14,4,2023,491.3701171875,0.1,3.4,127.18079999999999,21.962767018377782,951.8761926422122,46.69529881424165
1681497722.1913626,0,42,13,14,4,2023,466.4322509765625,0.11,3.2,125.3376,21.91210858526174,951.9033454652691,46.743606392707456
1681497782.1758103,0,43,13,14,4,2023,435.1803894042969,0.11,3.2,127.18079999999999,21.871581859723666,951.8930097362572,46.814411396737704
1681497842.1514935,0,44,13,14,4,2023,426.7048034667969,0.11,3.8,127.18079999999999,21.851318503939545,951.6474911153676,46.85794914551146
1681497902.1027007,0,45,13,14,4,2023,399.7236328125,0.11,3.6,127.18079999999999,21.83105515281204,951.8105235365895,46.846691312686715
1681497962.0799685,0,46,13,14,4,2023,410.47467041015625,0.11,3.5,127.18079999999999,21.846252665721114,951.7997552359916,46.934601305140454
1681498022.101213,0,47,13,14,4,2023,410.47467041015625,0.11,3.5,127.18079999999999,21.815857642522314,951.7599142107836,46.945199751369046
1681498082.2803376,0,48,13,14,4,2023,408.72265625,0.1,3.6,127.18079999999999,21.795594299543882,951.8507929116348,46.93952238868019
1681498142.2731705,0,49,13,14,4,2023,401.51605224609375,0.11,3.5,127.18079999999999,21.79052846452687,951.8456202358371,47.120237430150034
1681498202.265871,0,50,13,14,4,2023,393.3671569824219,0.11,3.5,127.18079999999999,21.80572597045102,951.9416684833526,47.230182237165664
1681498262.2654116,0,51,13,14,4,2023,397.15228271484375,0.1,4.0,127.18079999999999,21.77533096122206,952.0086292755507,47.38332980296239
1681498322.2332447,0,52,13,14,4,2023,391.87396240234375,0.11,3.8,129.024,21.750001794868147,952.048880966813,47.56388438410608
1681498382.2214422,0,53,13,14,4,2023,398.0460510253906,0.11,3.6,127.18079999999999,21.770265127369203,952.0540630899793,47.61336328471652
1681498442.186301,0,54,13,14,4,2023,401.21051025390625,0.11,3.6,127.18079999999999,21.750001794868147,951.915374668437,47.71749782916547
1681498502.1961608,0,55,13,14,4,2023,397.76190185546875,0.11,3.6,127.18079999999999,21.719606804847718,951.7874561636048,47.88703402616856
1681498562.1691968,0,56,13,14,4,2023,392.239501953125,0.11,3.7,127.18079999999999,21.70440931376652,951.8221253109738,48.238086858940534
